,query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
28,query_1,TRUE,2.81847608911693e-07,364,312,34,0.108974358974359,0.0934065934065934,GO:0098984,GO:CC,neuron to neuron synapse,13288,3329,GO:0045202
29,query_1,TRUE,3.34454962947575e-07,346,312,33,0.105769230769231,0.0953757225433526,GO:0097060,GO:CC,synaptic membrane,13288,2905,c("GO:0045202", "GO:0098590")
30,query_1,TRUE,1.63463738000752e-06,326,312,31,0.0993589743589744,0.0950920245398773,GO:0014069,GO:CC,postsynaptic density,13288,696,c("GO:0032279", "GO:0099572")
31,query_1,TRUE,3.53532515759612e-06,336,312,31,0.0993589743589744,0.0922619047619048,GO:0032279,GO:CC,asymmetric synapse,13288,1285,GO:0098984
32,query_1,TRUE,5.97787223441844e-06,567,312,41,0.131410256410256,0.072310405643739,GO:0030425,GO:CC,dendrite,13288,936,c("GO:0043005", "GO:0097447")
33,query_1,TRUE,6.66018348028396e-06,569,312,41,0.131410256410256,0.0720562390158172,GO:0097447,GO:CC,dendritic tree,13288,3012,c("GO:0036477", "GO:0043005")
34,query_1,TRUE,1.07370064598026e-05,1108,312,61,0.195512820512821,0.0550541516245487,GO:0043005,GO:CC,neuron projection,13288,1850,GO:0120025
35,query_1,TRUE,1.24067694550559e-05,234,312,25,0.0801282051282051,0.106837606837607,GO:0045211,GO:CC,postsynaptic membrane,13288,2146,c("GO:0097060", "GO:0098794")
36,query_1,TRUE,0.00051840469001925,1789,312,79,0.253205128205128,0.0441587479038569,GO:0042995,GO:CC,cell projection,13288,1849,GO:0110165
37,query_1,TRUE,0.00103749088813618,1719,312,76,0.243589743589744,0.0442117510180337,GO:0120025,GO:CC,plasma membrane bounded cell projection,13288,3451,GO:0042995
38,query_1,TRUE,0.00258861622657934,163,312,18,0.0576923076923077,0.110429447852761,GO:0043197,GO:CC,dendritic spine,13288,1871,c("GO:0030425", "GO:0044309", "GO:0098794")
39,query_1,TRUE,0.00295529470034955,113,312,15,0.0480769230769231,0.132743362831858,GO:0099634,GO:CC,postsynaptic specialization membrane,13288,3388,c("GO:0045211", "GO:0097060", "GO:0099572")
40,query_1,TRUE,0.00376917569927848,167,312,18,0.0576923076923077,0.107784431137725,GO:0044309,GO:CC,neuron spine,13288,2067,GO:0043005
41,query_1,TRUE,0.00440705460829018,527,312,34,0.108974358974359,0.0645161290322581,GO:0098793,GO:CC,presynapse,13288,3263,c("GO:0045202", "GO:0110165")
42,query_1,TRUE,0.0108525731686374,92,312,13,0.0416666666666667,0.141304347826087,GO:0098685,GO:CC,Schaffer collateral - CA1 synapse,13288,3250,GO:0045202
43,query_1,TRUE,0.0463459446080855,39,312,7,0.0224358974358974,0.179487179487179,HP:0010844,HP,EEG with multifocal slow activity,13288,7271,HP:0011203
44,query_1,TRUE,1.58781631633307e-05,105,312,14,0.0448717948717949,0.133333333333333,KEGG:04261,KEGG,Adrenergic signaling in cardiomyocytes,13288,291,KEGG:00000
45,query_1,TRUE,0.00047442783101926,158,312,15,0.0480769230769231,0.0949367088607595,KEGG:04020,KEGG,Calcium signaling pathway,13288,245,KEGG:00000
46,query_1,TRUE,0.0046008575095234,56,312,8,0.0256410256410256,0.142857142857143,KEGG:04260,KEGG,Cardiac muscle contraction,13288,290,KEGG:00000
47,query_1,TRUE,0.0154388888520233,103,312,10,0.032051282051282,0.0970873786407767,KEGG:04921,KEGG,Oxytocin signaling pathway,13288,371,KEGG:00000
48,query_1,TRUE,1.15776014580874e-06,5005,312,167,0.53525641025641,0.0333666333666334,MIRNA:000000,MIRNA,MIRNA root,13288,1,character(0)
49,query_1,TRUE,4.03675744657579e-05,209,312,20,0.0641025641025641,0.0956937799043062,REAC:R-MMU-112316,REAC,Neuronal System,13288,924,REAC:0000000
50,query_1,TRUE,0.00443436228522305,130,312,13,0.0416666666666667,0.1,REAC:R-MMU-112315,REAC,Transmission across Chemical Synapses,13288,1616,REAC:R-MMU-112316
51,query_1,TRUE,0.0148550848800145,106,312,11,0.0352564102564103,0.10377358490566,REAC:R-MMU-397014,REAC,Muscle contraction,13288,869,REAC:0000000
52,query_1,TRUE,0.0152636048359502,88,312,10,0.032051282051282,0.113636363636364,REAC:R-MMU-112314,REAC,Neurotransmitter receptors and postsynaptic signal transmission,13288,927,REAC:R-MMU-112315
53,query_1,TRUE,0.018315237942608,57,312,7,0.0224358974358974,0.12280701754386,WP:WP5298,WP,Dravet syndrome: Scn1a-A1783V point mutation model,13288,8,WP:000000
54,query_1,TRUE,0.019934512940592,95,312,9,0.0288461538461538,0.0947368421052632,WP:WP553,WP,Calcium regulation in cardiac cells,13288,48,WP:000000
