,query,significant,p_value,term_size,query_size,intersection_size,precision,recall,term_id,source,term_name,effective_domain_size,source_order,parents
37,query_1,TRUE,9.35007725809608e-05,167,342,21,0.0614035087719298,0.125748502994012,GO:0044309,GO:CC,neuron spine,13288,2067,GO:0043005
38,query_1,TRUE,0.000158558788628102,553,342,40,0.116959064327485,0.0723327305605787,GO:0044297,GO:CC,cell body,13288,2055,GO:0110165
39,query_1,TRUE,0.000353585852198348,500,342,37,0.108187134502924,0.074,GO:0043025,GO:CC,neuronal cell body,13288,1852,c("GO:0036477", "GO:0044297")
40,query_1,TRUE,0.00374046043334041,1789,342,82,0.239766081871345,0.0458356623812186,GO:0042995,GO:CC,cell projection,13288,1849,GO:0110165
41,query_1,TRUE,0.00382457083606262,928,342,52,0.152046783625731,0.0560344827586207,GO:0098590,GO:CC,plasma membrane region,13288,3224,c("GO:0005886", "GO:0016020")
42,query_1,TRUE,0.00441891442495961,527,342,36,0.105263157894737,0.0683111954459203,GO:0098793,GO:CC,presynapse,13288,3263,c("GO:0045202", "GO:0110165")
43,query_1,TRUE,0.00537354979137333,555,342,37,0.108187134502924,0.0666666666666667,GO:0030424,GO:CC,axon,13288,935,GO:0043005
44,query_1,TRUE,0.00628590916057472,1719,342,79,0.230994152046784,0.045956951716114,GO:0120025,GO:CC,plasma membrane bounded cell projection,13288,3451,GO:0042995
45,query_1,TRUE,0.0169134928490997,134,342,16,0.0467836257309941,0.119402985074627,GO:0044306,GO:CC,neuron projection terminus,13288,2064,c("GO:0043005", "GO:0110165")
46,query_1,TRUE,0.0214301143926197,11667,342,327,0.956140350877193,0.0280277706351247,GO:0005575,GO:CC,cellular_component,13288,197,character(0)
47,query_1,TRUE,0.0309438431500484,92,342,13,0.0380116959064327,0.141304347826087,GO:0098685,GO:CC,Schaffer collateral - CA1 synapse,13288,3250,GO:0045202
48,query_1,TRUE,0.00139799975029978,158,342,15,0.043859649122807,0.0949367088607595,KEGG:04020,KEGG,Calcium signaling pathway,13288,245,KEGG:00000
49,query_1,TRUE,0.0119076496551975,31,342,6,0.0175438596491228,0.193548387096774,KEGG:05030,KEGG,Cocaine addiction,13288,411,KEGG:00000
50,query_1,TRUE,2.9494144614425e-06,5005,342,179,0.523391812865497,0.0357642357642358,MIRNA:000000,MIRNA,MIRNA root,13288,1,character(0)
51,query_1,TRUE,0.0118587680613673,291,342,20,0.0584795321637427,0.0687285223367698,MIRNA:mmu-miR-425-5p,MIRNA,mmu-miR-425-5p,13288,1615,MIRNA:000000
52,query_1,TRUE,0.00587128326644767,106,342,12,0.0350877192982456,0.113207547169811,REAC:R-MMU-397014,REAC,Muscle contraction,13288,869,REAC:0000000
53,query_1,TRUE,0.0143113607620469,5258,342,181,0.529239766081871,0.0344237352605553,TF:M01104,TF,Factor: MOVO-B; motif: GNGGGGG,13288,2110,TF:M00000
54,query_1,TRUE,0.0202191971731256,1146,342,58,0.169590643274854,0.0506108202443281,TF:M05599_1,TF,Factor: WT1; motif: NGCGGGGGGGTSMMCYN; match class: 1,13288,3735,TF:M05599
55,query_1,TRUE,0.0373744203373792,5023,342,173,0.505847953216374,0.0344415687835955,TF:M07436,TF,Factor: WT1; motif: NNGGGNGGGSGN,13288,3738,TF:M00000
56,query_1,TRUE,0.00159599288864215,95,342,11,0.0321637426900585,0.115789473684211,WP:WP553,WP,Calcium regulation in cardiac cells,13288,48,WP:000000
57,query_1,TRUE,0.0433281238764605,8,342,3,0.0087719298245614,0.375,WP:WP327,WP,GPCRs, class C metabotropic glutamate, pheromone,13288,39,WP:000000
